BookTitle,красный,коричневый,синий,цветной,белый,темный,серый,черный,рыжий,бледный,багровый,голубой,желтый,светлый,серебряный,золотой,розовый,фиолетовый,зеленый,бурый,мутный,бежевый,сизый,пестрый,лиловый,оранжевый,изумрудный,пунцовый,румяный,алый,лазурный,бордовый,пурпурный,бирюзовый,аметистовый,тусклый,сиреневый,малиновый
А. Ф. Писемский. Самоуправцы (1867),1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 5 (1867),26.0,0.0,14.0,1.0,14.0,71.0,11.0,35.0,2.0,18.0,0.0,3.0,16.0,20.0,1.0,0.0,1.0,0.0,12.0,7.0,19.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 6 (1867),20.0,2.0,7.0,1.0,24.0,52.0,8.0,35.0,6.0,18.0,1.0,2.0,5.0,16.0,2.0,7.0,11.0,0.0,18.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
В. П. Авенариус. Бродящие силы. Поветрие (1867),1.0,0.0,5.0,4.0,11.0,7.0,2.0,7.0,0.0,14.0,1.0,2.0,2.0,11.0,0.0,0.0,7.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Г. И. Успенский. Столичная беднота (1867),5.0,0.0,4.0,1.0,5.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
И. С. Тургенев. Дым (1867),8.0,2.0,3.0,2.0,24.0,25.0,6.0,13.0,5.0,16.0,0.0,1.0,6.0,14.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
К. М. Станюкович. Отмена телесных наказаний (1867),1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
М. А. Воронов. Комары (1867),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
М. А. Воронов. Современный герой (1867),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Н. В. Успенский. Катерина (1867),0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Н. В. Успенский. Следствие (1867),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Н. С. Лесков. Чающие движения воды (1867),10.0,2.0,20.0,4.0,26.0,19.0,13.0,17.0,0.0,1.0,0.0,1.0,7.0,3.0,0.0,1.0,3.0,0.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ф. М. Решетников. Очерки обозной жизни (1867),6.0,0.0,3.0,0.0,8.0,3.0,1.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
И. Ф. Горбунов. Живем в свое удовольствие. Сцены из купеческого быта (1866),1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
К. М. Станюкович. Василий Иванович (1866),8.0,0.0,1.0,3.0,12.0,7.0,2.0,13.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
М. А. Воронов. Наш приход (1866),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Н. В. Успенский. Федор Петрович (1866),3.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Н. С. Лесков. Воительница (1866),1.0,1.0,2.0,1.0,12.0,3.0,1.0,9.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
П. И. Якушкин. Небывальщина (1866),2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ф. М. Достоевский. Игрок (1866),29.0,0.0,2.0,0.0,6.0,1.0,0.0,15.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ф. М. Достоевский. Преступление и наказание (1866),32.0,2.0,3.0,3.0,28.0,31.0,7.0,29.0,2.0,61.0,2.0,8.0,28.0,15.0,0.0,0.0,3.0,0.0,14.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ф. М. Решетников. Горнорабочие (1866),14.0,1.0,3.0,1.0,5.0,2.0,13.0,18.0,2.0,7.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ф. М. Решетников. Никола Знаменский (1866),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
А. И. Левитов. Газета в селе (1865),3.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
